id,name,year,rating,rank,min_players,max_players,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
2045,Forgotten Axis: The Romanian Campaign,2001.0,5.2,,2.0,2.0,180.0,180.0,12.0,4.0,Wargame;World War II,Hex-and-Counter,Country: Romania;Forgotten Axis Series;Magazine: Strategy & Tactics,,,,,,
2046,Hybrid,2003.0,7.4,2208.0,2.0,2.0,120.0,120.0,12.0,3.1,Fantasy;Fighting;Horror;Miniatures,Dice Rolling;Modular Board;Role Playing,Confrontation;Monsters,,,,,,
2047,The Second Boer War,2001.0,6.6,,2.0,2.0,180.0,180.0,12.0,2.25,Post-Napoleonic;Wargame,Hex-and-Counter,Country: South Africa;Magazine: Strategy & Tactics,,,,,,
2048,Master and Commander: The Far Side of the World,2003.0,5.4,11128.0,2.0,8.0,60.0,60.0,8.0,2.0,Card Game;Children's Game;Dice;Movies / TV / Radio theme;Napoleonic,Dice Rolling;Roll / Spin and Move,,,,,,,
2049,Belisarius,2002.0,7.6,,2.0,2.0,120.0,120.0,12.0,3.67,Ancient;Wargame,Hex-and-Counter,Byzantium;Country: Greece;Magazine: Strategy & Tactics,,,,,,
2050,How to Host a Mystery: Star Trek - The Next Generation,1992.0,5.6,10176.0,8.0,8.0,360.0,360.0,14.0,2.0,Movies / TV / Radio theme;Murder/Mystery;Science Fiction,Role Playing,How to Host...;Star Trek,,,,,,
2051,Pop Belly,1999.0,5.3,11033.0,2.0,4.0,20.0,20.0,4.0,1.3,Children's Game;Dice;Farming;Humor;Memory;Party Game,Dice Rolling;Memory,Animals: Pigs,,,,,,
2052,Whistling Death,2003.0,8.2,2273.0,1.0,4.0,240.0,240.0,14.0,4.36,Aviation / Flight;Wargame;World War II,Dice Rolling;Simulation,Fighting Wings;Solitaire Games;Solitaire Wargames,,,,,,
2053,Ninja Burger,2003.0,5.6,7989.0,3.0,6.0,60.0,60.0,12.0,1.62,Card Game;Humor,Dice Rolling;Hand Management;Pick-up and Deliver,Ninja,,,,,,
2054,Jumble: That Scrambled Word Game,1987.0,8.0,,1.0,6.0,30.0,30.0,8.0,2.0,Word Game,,,,,,,,
2055,Chief Surprise,1982.0,2.7,,,,30.0,30.0,,,Dice,Dice Rolling,,,,,,,
2056,Supergeroi (Superhero),2000.0,,,2.0,4.0,30.0,30.0,,,Children's Game,,,,,,,,
2057,Claymania,1993.0,5.7,,4.0,12.0,30.0,30.0,10.0,1.0,Deduction,,Play Dough/Clay Games,,,,,,
2058,Superstition,1977.0,5.6,,2.0,4.0,30.0,30.0,7.0,1.0,Children's Game;Horror,,,,,,,,
2059,The Lorax Card Game,2001.0,4.2,,2.0,6.0,20.0,20.0,4.0,1.0,Card Game;Children's Game;Novel-based,Set Collection,Dr. Seuss,,,,,,
2060,Break Away,1982.0,5.8,,2.0,2.0,20.0,20.0,7.0,,Abstract Strategy,,Hi-Q;Tafl,,,,,,
2061,...und tschüss!,1997.0,6.4,3306.0,4.0,6.0,30.0,30.0,10.0,1.3,Card Game,Simultaneous Action Selection,Goldsieber à la Carte,,,,,,
2062,Stampede!,2003.0,4.4,11887.0,2.0,4.0,10.0,10.0,6.0,1.0,Animals;Children's Game;Party Game;Real-time,Pattern Recognition;Set Collection,12 Minute Games;Animals: Elephants;Animals: Hippopotamus;Animals: Rhinoceros,,,,,,
2063,PDQ: The Pretty Darn Quick Word Game,2003.0,6.4,7111.0,1.0,12.0,20.0,20.0,8.0,1.0,Card Game;Children's Game;Educational;Word Game,,,,,,,,
2064,Zoccer,1980.0,5.5,,2.0,2.0,30.0,30.0,10.0,,Abstract Strategy;Sports,Dice Rolling,Sports: Football / Soccer,,,,,,
2065,Quintillions,1980.0,7.4,,1.0,4.0,30.0,30.0,,2.67,Abstract Strategy;Game System;Puzzle,Tile Placement,Polyominoes,,,,,,
2066,The Hair Bear Bunch Game,1971.0,7.0,,2.0,4.0,30.0,30.0,7.0,,Children's Game;Movies / TV / Radio theme,,Animals: Bears;Cartoons: Hanna-Barbera,,,,,,
2067,Soccer Challenge,1998.0,3.6,,2.0,2.0,10.0,10.0,4.0,1.0,Card Game;Children's Game;Sports,Hand Management,Sports: Football / Soccer,,,,,,
2068,Traffic Jam,1997.0,4.4,,2.0,4.0,20.0,20.0,5.0,,Children's Game;Transportation,Hand Management;Pattern Recognition;Tile Placement,,,,,,,
2069,Destroyer Captain,1979.0,7.5,6248.0,2.0,6.0,90.0,90.0,12.0,2.86,Nautical;Wargame;World War II,Dice Rolling;Hex-and-Counter;Simulation,,,,,,,
2070,Ironbottom Sound,1981.0,7.4,6625.0,2.0,8.0,120.0,120.0,12.0,3.33,Nautical;Wargame;World War II,Hex-and-Counter;Simultaneous Action Selection,,,,,,,
2071,Dozo,1970.0,4.9,,2.0,3.0,10.0,10.0,,1.67,Abstract Strategy,,,,,,,,
2072,Doge,2000.0,6.5,2052.0,3.0,4.0,45.0,45.0,12.0,2.56,Bluffing;Political,Area Control / Area Influence;Auction/Bidding;Simultaneous Action Selection,Cities: Venice;Country: Italy,,,,,,
2073,Calva-d-Os,1987.0,3.4,,2.0,102.0,30.0,30.0,6.0,,,Dice Rolling,,,,,,,
2074,Montezuma,1978.0,4.4,,2.0,2.0,10.0,10.0,,1.0,Abstract Strategy;Bluffing;Card Game,Secret Unit Deployment,Montezuma II,,,,,,
2075,Turbo,2003.0,4.6,12067.0,2.0,4.0,10.0,10.0,10.0,1.29,Card Game;Number;Racing;Real-time,Hand Management;Modular Board;Point to Point Movement;Simultaneous Action Selection,Sports: Auto Racing,,,,,,
2076,Check,2003.0,7.1,,2.0,4.0,30.0,30.0,8.0,,Abstract Strategy;Bluffing;Card Game;Fighting,Co-operative Play;Pattern Building;Pattern Recognition;Rock-Paper-Scissors;Tile Placement;Trading,Games by the Game Artisans of Canada,,,,,,
2077,Battle for China (first edition),1999.0,7.1,7319.0,2.0,3.0,360.0,360.0,12.0,2.86,Wargame;World War II,Area Movement;Simulation,Asian Theme;Country: China,,,,,,
2078,More Battle for China,2001.0,8.3,,2.0,3.0,180.0,180.0,12.0,3.0,Expansion for Base-game;Wargame;World War II,Area Movement;Simulation,Asian Theme;Country: China,,,,,,
2079,Toying With Destruction,1996.0,4.8,,2.0,8.0,120.0,120.0,,3.0,Humor;Miniatures;Modern Warfare;Wargame,Action Point Allowance System;Dice Rolling;Point to Point Movement;Variable Player Powers,,,,,,,
2080,Gounki,1997.0,6.8,,2.0,2.0,20.0,20.0,8.0,3.0,Abstract Strategy;Racing,Point to Point Movement,,,,,,,
2081,My Little Pony Game,1988.0,4.9,,2.0,4.0,20.0,20.0,3.0,,Children's Game,Roll / Spin and Move,80's Cartoons;Animals: Horses;Characters: My Little Pony,,,,,,
2082,Java,2000.0,7.0,565.0,2.0,4.0,120.0,120.0,12.0,3.41,City Building,Action Point Allowance System;Area Control / Area Influence;Tile Placement,3D Games;Asian Theme;Country: Indonesia;The Mask Trilogy;Tropical theme,,,,,,
2083,Between The Sheets,2000.0,2.7,,2.0,2.0,10.0,10.0,18.0,1.0,Humor;Mature / Adult;Racing,Point to Point Movement,,,,,,,
2084,Battle Dome,1994.0,6.4,6096.0,2.0,4.0,10.0,10.0,8.0,1.0,Action / Dexterity;Children's Game,,3D Games;Marble Games;Pokémon,,,,,,
2085,I Go!,2003.0,6.4,2019.0,2.0,4.0,30.0,30.0,8.0,1.49,Card Game;Nautical;Pirates,Card Drafting;Hand Management;Pattern Building;Set Collection,Card Games: Draw and Discard Games;Rummy Games,,,,,,
2086,Cannon,2003.0,7.0,4022.0,2.0,2.0,20.0,20.0,12.0,2.75,Abstract Strategy,Grid Movement,Combinatorial;Video Tape Box Games,,,,,,
2087,Grab Bag,2002.0,5.8,,2.0,4.0,10.0,10.0,4.0,1.0,Action / Dexterity;Children's Game;Educational;Memory,Memory,,,,,,,
2088,Identity,1998.0,5.0,,4.0,6.0,90.0,90.0,10.0,,Party Game,,,,,,,,
2089,Towers of Hamburg,1998.0,7.0,,2.0,2.0,45.0,45.0,8.0,3.0,Abstract Strategy,,3D Games;Cities: Hamburg,,,,,,
2090,Auf der Kippe,1997.0,5.8,,2.0,6.0,20.0,20.0,7.0,,Abstract Strategy,,,,,,,,
2091,Mentix,1998.0,7.0,,1.0,1.0,30.0,30.0,12.0,,Word Game,Card Drafting,,,,,,,
2092,Count-down,1998.0,3.0,,2.0,2.0,30.0,30.0,8.0,,Abstract Strategy,,,,,,,,
2093,New York New York,1989.0,5.6,9734.0,3.0,4.0,30.0,30.0,8.0,1.5,City Building,Tile Placement,Cities: New York (New York USA);Country: USA,,,,,,
2094,Make 5,1998.0,5.2,10820.0,2.0,2.0,10.0,10.0,6.0,1.5,Abstract Strategy,,n in a row,,,,,,
2095,Long Shot,1962.0,5.0,,2.0,6.0,60.0,60.0,,,Racing;Sports,Betting/Wagering,Sports: Horse Racing,,,,,,
2096,PDQ,1965.0,8.0,,3.0,6.0,60.0,60.0,,,Movies / TV / Radio theme;Word Game,Partnerships;Simultaneous Action Selection,,,,,,,
2097,Blitz,1984.0,,,2.0,6.0,120.0,120.0,10.0,,Wargame,Area Movement;Dice Rolling,,,,,,,
2098,Music Mystery,1998.0,5.3,,4.0,20.0,90.0,90.0,12.0,1.67,Music;Word Game,Acting;Partnerships;Singing,,,,,,,
2099,Bi-litaire,1994.0,5.5,,2.0,2.0,20.0,20.0,7.0,2.0,Abstract Strategy,Area Movement,,,,,,,
2100,Das Original Herzblattspiel,1997.0,1.0,,4.0,6.0,60.0,60.0,,,Party Game,Partnerships,,,,,,,
2101,Cargo,2004.0,5.1,11799.0,2.0,4.0,45.0,45.0,10.0,1.74,Abstract Strategy,,,,,,,,
2102,Der Kleine Kommissar,1997.0,4.5,,2.0,6.0,45.0,45.0,8.0,,Children's Game;Deduction;Dice,Dice Rolling,,,,,,,
2103,The Haunting House,2004.0,5.1,12591.0,2.0,6.0,45.0,45.0,10.0,1.4,Horror;Racing,Action / Movement Programming;Modular Board,Ghosts,,,,,,
2104,Titanic: Der Mythos,1998.0,5.4,10810.0,2.0,5.0,20.0,20.0,10.0,1.07,Card Game;Nautical,Hand Management,Titanic,,,,,,
2105,Challenge Football,1972.0,3.7,,2.0,2.0,120.0,120.0,10.0,2.0,Sports,Simultaneous Action Selection,3M Bookshelf Series;Sports: American Football / Gridiron,,,,,,
2106,Austerlitz 1805: Napoleon's Greatest Victory,2000.0,5.8,8336.0,2.0,2.0,240.0,240.0,12.0,3.15,Napoleonic;Wargame,Dice Rolling;Hex-and-Counter;Simulation,,,,,,,
2107,Jumble,2001.0,4.9,,2.0,2.0,30.0,30.0,8.0,1.0,Word Game,,,,,,,,
2108,A Box of Silly Word Games,2005.0,5.0,,2.0,2.0,10.0,10.0,5.0,,Party Game;Puzzle;Word Game,Paper-and-Pencil,,,,,,,
