id,name,year,rating,rank,min_players,max_players,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
1,Sweet Valley High,1988.0,4.8,11444.0,2.0,4.0,30.0,30.0,8.0,1.0,Memory;Novel-based,Memory;Roll / Spin and Move;Set Collection,Admin: Better Description Needed!,,,,,,
2,007 James Bond: You Only Live Twice,1985.0,5.7,,2.0,2.0,20.0,20.0,8.0,1.33,Adventure;Movies / TV / Radio theme;Novel-based,Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond,,,,,,
3,Rock Paper Scissors Inc.,2003.0,5.0,,2.0,2.0,10.0,10.0,6.0,1.5,Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection;Stock Holding,,,,,,,
4,VisualEyes,2003.0,5.6,8784.0,2.0,8.0,30.0,30.0,8.0,1.41,Dice;Negotiation;Party Game;Puzzle;Real-time;Word Game,Dice Rolling;Paper-and-Pencil;Voting,,,,,,,
5,007 James Bond: Goldfinger,1985.0,6.0,,2.0,2.0,20.0,20.0,8.0,1.5,Adventure;Movies / TV / Radio theme;Novel-based,Area Movement;Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond,,,,,,
6,Assembly Line,2003.0,5.0,,2.0,2.0,20.0,20.0,10.0,1.5,Abstract Strategy;Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection,,,,,,,
7,Cronberg,2003.0,6.0,4074.0,2.0,4.0,20.0,20.0,8.0,1.91,City Building;Print & Play,Area Enclosure;Tile Placement,Admin: Better Description Needed!,,,,,,
8,Münchhausen,1996.0,5.9,8152.0,3.0,8.0,30.0,30.0,8.0,1.09,Bluffing;Card Game;Fantasy,,,,,,,,
9,Lickin' Lizards,1993.0,5.4,,2.0,4.0,20.0,20.0,5.0,,Action / Dexterity;Animals;Children's Game;Real-time,,Animals: Lizards;Animals: Spiders,,,,,,
10,Slobberin' Sam,1993.0,2.0,,2.0,4.0,20.0,20.0,,,Action / Dexterity;Animals;Children's Game;Electronic,,3D Games;Animals: Dogs,,,,,,
11,The Odd-Ball Scenario,1996.0,5.0,,2.0,6.0,30.0,30.0,,,Expansion for Base-game;Spies/Secret Agents,,,,,,,,
12,Husch Husch kleine Hexe,1994.0,5.5,10275.0,2.0,6.0,15.0,15.0,3.0,1.0,Children's Game;Dice;Fantasy;Memory;Racing,Dice Rolling;Memory;Roll / Spin and Move,Witches,,,,,,
13,Mad Dash!,1991.0,5.4,,2.0,2.0,10.0,10.0,8.0,1.0,Card Game;Educational;Racing,Hand Management;Pattern Building,,,,,,,
14,Batalo,1992.0,6.2,,2.0,2.0,30.0,30.0,6.0,2.0,Abstract Strategy,Area Movement,Tube Games,,,,,,
15,Tilez!,1997.0,4.9,,2.0,4.0,30.0,30.0,6.0,1.5,Abstract Strategy,Tile Placement,Polyominoes,,,,,,
16,Blaster Bots,2003.0,5.5,,2.0,6.0,30.0,30.0,12.0,,Card Game;Fighting;Science Fiction,Dice Rolling,,,,,,,
17,Electronic Dream Phone,1991.0,5.6,10924.0,1.0,4.0,20.0,20.0,9.0,2.33,Children's Game;Deduction;Electronic,Roll / Spin and Move,,,,,,,
18,World Cup in the Void,2003.0,,,2.0,2.0,20.0,20.0,,,Card Game;Sports,Simulation;Variable Player Powers,Sports: Football / Soccer,,,,,,
19,Sabuca,1999.0,6.0,,2.0,6.0,20.0,20.0,10.0,1.33,Card Game;Word Game,Hand Management,,,,,,,
20,Korea: The Forgotten War,2003.0,8.1,1906.0,2.0,2.0,360.0,360.0,16.0,4.21,Korean War;Modern Warfare;Wargame,Dice Rolling;Hex-and-Counter;Simulation,Country: Korea;Operational Combat Series,,,,,,
21,Let's Do Lunch!,2000.0,5.3,10659.0,2.0,2.0,20.0,20.0,12.0,1.14,Abstract Strategy;Dice;Prehistoric,Dice Rolling,,,,,,,
22,Kung Fu Samurai on Giant Robot Island,2003.0,5.8,6690.0,2.0,6.0,30.0,30.0,13.0,1.5,Card Game;Humor;Movies / TV / Radio theme;Science Fiction,,B-Movies;Samurai,,,,,,
23,Grave Robbers II: Skippy's Revenge,2003.0,6.2,4266.0,2.0,6.0,30.0,30.0,13.0,1.28,Card Game;Horror;Humor;Movies / TV / Radio theme;Science Fiction,,Aliens;B-Movies,,,,,,
24,Booty,1995.0,3.9,,2.0,4.0,45.0,45.0,13.0,1.5,Abstract Strategy;Maze;Racing,Dice Rolling;Pick-up and Deliver;Tile Placement,,,,,,,
25,Lights Camera Action,2003.0,7.5,,2.0,2.0,45.0,45.0,,,Movies / TV / Radio theme;Party Game;Trivia,Co-operative Play;Role Playing,,,,,,,
26,Coodju,2001.0,5.1,,4.0,4.0,30.0,30.0,,2.0,Party Game;Word Game,,,,,,,,
27,Radar Search,1969.0,4.6,,2.0,2.0,30.0,30.0,6.0,1.2,Bluffing;Deduction;Electronic;Spies/Secret Agents,Point to Point Movement;Secret Unit Deployment;Variable Player Powers,,,,,,,
28,Stampin',1989.0,4.4,,2.0,4.0,60.0,60.0,,,,Auction/Bidding;Roll / Spin and Move;Set Collection,Post Office Stamps and Mail,,,,,,
29,Glasnost,1989.0,4.4,,2.0,8.0,90.0,90.0,12.0,2.0,Political,,,,,,,,
30,Wall Street Game,1998.0,3.0,,2.0,5.0,60.0,60.0,10.0,,Economic,Roll / Spin and Move;Stock Holding,Admin: Better Description Needed!,,,,,,
31,Build Puzzle Town,1976.0,5.7,,1.0,4.0,30.0,30.0,8.0,,City Building,Pattern Building;Tile Placement,,,,,,,
32,Aventuras Heróicas: A Revelação da Princesa / O Encontro com Kaleb,1991.0,5.0,,3.0,6.0,90.0,90.0,12.0,,Adventure;Collectible Components;Expansion for Base-game;Exploration;Fantasy,Co-operative Play;Role Playing;Variable Player Powers,,,,,,,
33,Aventuras Heróicas,1991.0,6.5,,3.0,5.0,90.0,90.0,12.0,,Adventure;Collectible Components;Exploration;Fantasy;Fighting;Miniatures,Co-operative Play;Role Playing;Variable Player Powers,,,,,,,
34,SkyCapers,1995.0,5.8,,2.0,4.0,30.0,30.0,6.0,,Action / Dexterity,Action / Movement Programming,3D Games,,,,,,
35,Coronets,2003.0,6.1,,3.0,5.0,90.0,90.0,12.0,2.0,Humor;Murder/Mystery;Racing,Action Point Allowance System;Dice Rolling;Modular Board;Pick-up and Deliver;Roll / Spin and Move;Set Collection,,,,,,,
36,E.T.: The Extra-Terrestrial,1982.0,3.6,12435.0,2.0,4.0,10.0,10.0,7.0,2.0,Movies / TV / Radio theme,Dice Rolling;Roll / Spin and Move,Admin: Better Description Needed!;Aliens,,,,,,
37,Frogger,1981.0,4.7,11716.0,2.0,2.0,10.0,10.0,7.0,1.4,Video Game Theme,Action Point Allowance System;Dice Rolling,Animals: Frogs,,,,,,
38,Löwenherz,1997.0,7.1,620.0,2.0,4.0,90.0,90.0,12.0,2.93,Medieval;Political,Area Control / Area Influence;Auction/Bidding;Modular Board,Admin: Better Description Needed!,,,,,,
39,Riffifi,2000.0,6.0,7870.0,3.0,5.0,15.0,15.0,10.0,1.0,Card Game,Simultaneous Action Selection,,,,,,,
40,Purse & Pockets Plus,2003.0,6.0,,5.0,100.0,20.0,20.0,,1.0,Action / Dexterity;Party Game;Print & Play;Racing;Real-time,Partnerships;Pick-up and Deliver,,,,,,,
41,Murderless Mysteries: Arch Villains Anonymous,2003.0,5.0,,7.0,30.0,90.0,90.0,16.0,2.0,Deduction;Humor;Mafia;Murder/Mystery;Party Game;Pirates,Acting;Role Playing;Voting,,,,,,,
42,Charlie Brown Plays Baseball,1995.0,5.0,,2.0,2.0,20.0,20.0,,1.0,Card Game;Comic Book / Strip;Movies / TV / Radio theme,Hand Management,Characters: Peanuts;Sports: Baseball,,,,,,
43,Logistic,1998.0,4.0,,2.0,2.0,45.0,45.0,,,Abstract Strategy;Economic;Transportation,Pick-up and Deliver,,,,,,,
44,Flotte Krabbe,1991.0,6.7,,2.0,2.0,10.0,10.0,10.0,,Abstract Strategy;Animals;Racing,,Animals: Crabs,,,,,,
45,Track,1975.0,4.4,11788.0,2.0,2.0,20.0,20.0,8.0,1.25,Abstract Strategy,,,,,,,,
46,Munchkin 3: Clerical Errors,2003.0,6.5,,3.0,6.0,90.0,90.0,10.0,1.86,Card Game;Expansion for Base-game;Fantasy;Fighting;Humor,Card Drafting;Dice Rolling;Hand Management;Take That;Variable Player Powers,Munchkin,,,,,,
47,Munchkin Fu,2003.0,5.9,3353.0,3.0,6.0,90.0,90.0,10.0,1.75,Card Game;Fighting;Humor,Dice Rolling;Trading;Variable Player Powers,Asian Theme;Munchkin,,,,,,
48,Lord of the Rings Trivia Game,2003.0,6.1,4437.0,2.0,4.0,90.0,90.0,12.0,2.07,Adventure;Fantasy;Novel-based;Trivia,,,,,,,,
49,Jamie Swise Mystery Games: The Twelfth Night Murder,,7.0,,8.0,8.0,180.0,180.0,16.0,3.0,Deduction;Murder/Mystery,Acting;Role Playing,Celebrities: Shakespeare;Jamie Swise Mystery Games,,,,,,
50,Where's Bob's Hat?,1990.0,6.2,3554.0,3.0,5.0,45.0,45.0,10.0,1.6,Card Game,Trick-taking,,,,,,,
51,Spinergy,2000.0,5.8,8764.0,2.0,6.0,60.0,60.0,15.0,1.42,Party Game;Word Game,Storytelling,,,,,,,
52,Battlelines: The Stalingrad Campaign,2003.0,6.5,6939.0,2.0,6.0,60.0,60.0,12.0,2.67,Card Game;Wargame;World War II,Action Point Allowance System;Campaign / Battle Card Driven;Hand Management;Point to Point Movement,Country: Russia;Video Tape Box Games,,,,,,
53,American Idol Board Game,2003.0,1.8,,2.0,6.0,90.0,90.0,6.0,,Movies / TV / Radio theme;Music;Party Game,Dice Rolling;Roll / Spin and Move;Set Collection;Singing,CD Board Games;TV Series: Idol,,,,,,
54,Downtown: Air War Over Hanoi 1965-1972,2004.0,7.8,1486.0,2.0,2.0,240.0,240.0,14.0,4.05,Aviation / Flight;Modern Warfare;Vietnam War;Wargame,Chit-Pull System;Dice Rolling;Hex-and-Counter;Simulation,Cities: Hanoi;Country: Vietnam,,,,,,
55,Finans,1949.0,5.1,12380.0,2.0,6.0,60.0,60.0,8.0,2.25,Economic,Dice Rolling;Roll / Spin and Move;Stock Holding,,,,,,,
56,Napoleon at Austerlitz,1981.0,6.3,7889.0,1.0,2.0,300.0,300.0,12.0,2.71,Fighting;Napoleonic;Wargame,Dice Rolling;Hex-and-Counter,Magazine: Wargamer;Napoleon & the Archduke Charles,,,,,,
57,MINDFIELD The Game of US Military Trivia,2003.0,1.0,,2.0,4.0,90.0,90.0,12.0,,American Civil War;American Indian Wars;American Revolutionary War;Educational;Korean War,Co-operative Play;Dice Rolling;Partnerships;Roll / Spin and Move,,,,,,,
58,Rapidough,1994.0,6.3,5619.0,4.0,99.0,30.0,30.0,8.0,1.14,Action / Dexterity;Children's Game;Deduction;Humor;Party Game,Pattern Building;Pattern Recognition,Play Dough/Clay Games,,,,,,
59,Rat-Mal,1995.0,7.0,,2.0,5.0,30.0,30.0,,,Children's Game;Deduction,,,,,,,,
60,Electronic Lightfight: The Games of Dueling Lights,1981.0,5.3,,2.0,4.0,10.0,10.0,8.0,,Action / Dexterity;Electronic,Hand Management,,,,,,,
61,Den of Thieves,2003.0,5.2,11049.0,2.0,5.0,90.0,90.0,9.0,1.5,Bluffing;Card Game;Medieval;Renaissance,Simultaneous Action Selection;Variable Player Powers,,,,,,,
62,Rockets Red Glare,1981.0,6.1,,2.0,2.0,120.0,120.0,12.0,2.4,Wargame,Hex-and-Counter;Simulation,,,,,,,
63,The Fonz: Hanging Out at Arnold's,1976.0,4.0,,2.0,4.0,30.0,30.0,6.0,1.0,Card Game;Children's Game;Movies / TV / Radio theme,Set Collection,,,,,,,
64,The Fall Guy,1981.0,5.5,,2.0,4.0,30.0,30.0,7.0,,Movies / TV / Radio theme,Roll / Spin and Move;Set Collection,,,,,,,
65,Plott: Adventures in Space,1966.0,,,2.0,2.0,60.0,60.0,10.0,,Deduction;Science Fiction,Secret Unit Deployment,,,,,,,
66,Seapower & the State,1982.0,6.4,,2.0,2.0,120.0,120.0,12.0,2.8,Nautical;Wargame,Hex-and-Counter;Simulation,,,,,,,
67,Rival Den of Thieves,2003.0,5.5,,2.0,5.0,90.0,90.0,10.0,1.0,Bluffing;Card Game;Medieval;Renaissance,Simultaneous Action Selection;Variable Player Powers,,,,,,,
68,Scream Machine,2003.0,6.0,3608.0,3.0,6.0,45.0,45.0,7.0,1.54,Card Game,Action Point Allowance System;Card Drafting;Set Collection,,,,,,,
69,Gambler's Paradise,,,,2.0,8.0,45.0,45.0,,,Bluffing;Card Game;Dice;Number,Auction/Bidding;Betting/Wagering;Dice Rolling;Hand Management;Simulation,,,,,,,
70,Collision!,1969.0,4.8,,2.0,4.0,30.0,30.0,,,Transportation,Roll / Spin and Move,,,,,,,
71,Siege,1999.0,4.9,11124.0,2.0,2.0,30.0,30.0,10.0,1.0,Card Game;Medieval,,,,,,,,
72,Intercept: The Electronic Search and Destroy Game,1978.0,4.9,,2.0,2.0,30.0,30.0,8.0,1.0,Electronic;Modern Warfare;Wargame,Point to Point Movement;Secret Unit Deployment,,,,,,,
73,Card Attack,1991.0,5.6,,2.0,6.0,45.0,45.0,8.0,1.0,Card Game,,,,,,,,
74,Centurions: Jake Rockwell's Battle to Stop Dr. Terror Game,1986.0,3.7,,2.0,4.0,30.0,30.0,6.0,1.0,Children's Game;Science Fiction,Modular Board;Pick-up and Deliver;Roll / Spin and Move,,,,,,,
75,The Archie Game,1969.0,4.0,,2.0,5.0,30.0,30.0,7.0,,Action / Dexterity;Children's Game;Comic Book / Strip;Dice;Number,Dice Rolling,,,,,,,
76,Crescendo,1997.0,5.2,,2.0,4.0,30.0,30.0,8.0,,Abstract Strategy,Modular Board,,,,,,,
77,Barney Miller,1977.0,4.4,,2.0,4.0,30.0,30.0,8.0,,Movies / TV / Radio theme,Roll / Spin and Move,,,,,,,
78,Fight in the Skies,1966.0,6.6,6627.0,2.0,52.0,60.0,60.0,12.0,2.44,Aviation / Flight;Wargame;World War I,Dice Rolling;Hex-and-Counter;Role Playing;Simulation,,,,,,,
79,Galactic Grenadiers,1980.0,4.3,,2.0,2.0,120.0,120.0,12.0,,Adventure;Fighting;Miniatures;Science Fiction,Role Playing;Simulation,,,,,,,
80,Shift,1973.0,4.3,,2.0,4.0,30.0,30.0,,,Abstract Strategy;Puzzle,Partnerships,,,,,,,
81,Murder à la carte: A Taste of His Own Medicine,1993.0,6.0,,6.0,6.0,180.0,180.0,18.0,1.0,Murder/Mystery,Role Playing,Murder à la carte,,,,,,
82,Desert Steel,1989.0,7.0,4518.0,2.0,2.0,240.0,240.0,12.0,3.0,Wargame;World War II,Hex-and-Counter,Tank Leader series,,,,,,
83,Western Front Tank Leader,1987.0,6.8,3587.0,2.0,2.0,240.0,240.0,12.0,3.1,Wargame;World War II,Hex-and-Counter;Simulation,Tank Leader series,,,,,,
84,Jenga Jacks,2000.0,6.7,,1.0,1.0,20.0,20.0,8.0,,Action / Dexterity;Card Game,Hand Management,Jenga,,,,,,
85,Spite & Malice,2003.0,5.9,5164.0,2.0,5.0,30.0,30.0,8.0,1.38,Card Game,Pattern Building,Animals: Cats;Shedding Games;Traditional Card Games,,,,,,
86,Blank,2003.0,4.0,,1.0,1.0,90.0,90.0,,,Educational;Party Game;Puzzle;Word Game,Paper-and-Pencil;Partnerships;Simultaneous Action Selection,,,,,,,
87,Excalibur,1989.0,6.2,4173.0,2.0,6.0,120.0,120.0,14.0,3.1,Fighting;Medieval;Wargame,Action / Movement Programming;Dice Rolling;Paper-and-Pencil;Point to Point Movement;Simultaneous Action Selection,King Arthur Series;The Legend of King Arthur and the Knights of the…,,,,,,
88,Ökolopoly,1983.0,5.3,10791.0,1.0,6.0,45.0,45.0,12.0,2.5,City Building;Economic;Educational;Environmental;Industry / Manufacturing;Political,Action Point Allowance System;Co-operative Play;Simulation,,,,,,,
89,When Darkness Comes: The Most Dangerous Game,2003.0,6.1,,1.0,6.0,90.0,90.0,14.0,3.0,Dice;Expansion for Base-game;Miniatures;Spies/Secret Agents,Co-operative Play;Dice Rolling;Role Playing;Tile Placement,When Darkness Comes,,,,,,
90,Quinto,1994.0,4.5,,2.0,4.0,60.0,60.0,10.0,2.0,Card Game,Set Collection,,,,,,,
91,Quackshot,1995.0,6.9,5283.0,2.0,4.0,10.0,10.0,6.0,1.0,Action / Dexterity;Children's Game;Electronic;Real-time,,3D Games;Animals: Ducks,,,,,,
92,Nummerus Zahlus,1995.0,5.7,,1.0,4.0,10.0,10.0,7.0,2.0,Abstract Strategy,Set Collection,,,,,,,
93,Riskkapitalist,2000.0,7.8,,2.0,5.0,120.0,120.0,12.0,,Economic;Negotiation,Auction/Bidding;Dice Rolling;Roll / Spin and Move;Stock Holding;Trading,,,,,,,
94,Touchdown A Minute Football,2003.0,4.2,,2.0,2.0,30.0,30.0,,1.0,Sports,Dice Rolling;Simultaneous Action Selection,Sports: American Football / Gridiron,,,,,,
95,Strange Synergy,2003.0,5.8,6749.0,2.0,4.0,45.0,45.0,12.0,2.11,Comic Book / Strip;Fantasy;Fighting;Science Fiction,Dice Rolling;Variable Player Powers,Superheroes,,,,,,
96,Such a Thing?,1989.0,6.1,3417.0,2.0,8.0,30.0,30.0,10.0,1.25,Party Game;Word Game,Storytelling;Voting,,,,,,,
97,World War II in the West,2004.0,6.8,,2.0,5.0,360.0,360.0,12.0,4.0,Wargame;World War II,Action Point Allowance System;Auction/Bidding;Betting/Wagering;Dice Rolling;Hex-and-Counter,,,,,,,
98,Harry Potter Casting Stone Game,2001.0,4.0,11875.0,2.0,2.0,20.0,20.0,8.0,1.25,Children's Game;Collectible Components;Fantasy;Movies / TV / Radio theme;Novel-based,Dice Rolling;Rock-Paper-Scissors;Set Collection;Variable Player Powers,Harry Potter,,,,,,
99,Stump,1968.0,6.2,,2.0,4.0,30.0,30.0,10.0,1.0,Card Game,,,,,,,,
100,Cubus,1987.0,5.9,8297.0,2.0,6.0,20.0,20.0,10.0,1.9,Abstract Strategy,Modular Board;Tile Placement,Edition Perlhuhn series at Franckh-Kosmos,,,,,,
101,Corda,1982.0,4.6,,1.0,6.0,10.0,10.0,8.0,3.0,Abstract Strategy;Puzzle,Modular Board;Tile Placement,Edition Perlhuhn series at Franckh-Kosmos,,,,,,
102,Raven,1996.0,5.8,,2.0,2.0,90.0,90.0,12.0,,Fantasy;Fighting;Miniatures;Wargame,Dice Rolling,,,,,,,
103,Lunar Rails,2003.0,6.9,2014.0,2.0,6.0,180.0,240.0,10.0,2.79,Economic;Science Fiction;Trains;Transportation,Crayon Rail System;Pick-up and Deliver;Route/Network Building,Admin: Better Description Needed!;Empire Builder Rail Games;Moon/Lunar,,,,,,
104,Bastard,1992.0,6.0,,2.0,4.0,90.0,90.0,12.0,3.0,Exploration;Fantasy;Movies / TV / Radio theme,Tile Placement,,,,,,,
105,Legend of Camelot,1987.0,5.6,10121.0,2.0,4.0,45.0,45.0,8.0,2.0,Fighting;Medieval,Dice Rolling;Roll / Spin and Move,The Legend of King Arthur and the Knights of the…,,,,,,
106,Forte Trivia Cards Volume One,1984.0,4.9,,2.0,6.0,120.0,120.0,12.0,,Card Game;Expansion for Base-game;Party Game;Trivia,Roll / Spin and Move,,,,,,,
107,BLARF,1981.0,4.5,,2.0,4.0,30.0,30.0,8.0,2.0,Abstract Strategy;Dice;Memory;Racing,Dice Rolling;Memory;Point to Point Movement;Roll / Spin and Move,,,,,,,
108,Bibleopoly,1991.0,3.8,12421.0,2.0,6.0,60.0,60.0,8.0,1.5,Economic;Negotiation;Religious,Auction/Bidding;Roll / Spin and Move;Set Collection;Trading,Monopoly,,,,,,
109,Paris Zoom,1987.0,4.0,,2.0,4.0,30.0,30.0,6.0,,Children's Game;Trivia,Variable Player Powers,Cities: Paris (France),,,,,,
110,Refugium,1999.0,5.5,,2.0,4.0,20.0,20.0,10.0,3.0,City Building,Tile Placement,,,,,,,
111,Who?,1951.0,6.3,,2.0,5.0,30.0,30.0,6.0,1.0,Bluffing;Deduction,Role Playing;Variable Player Powers,,,,,,,
112,Verbatim,1985.0,4.3,,2.0,4.0,45.0,45.0,8.0,,Word Game,Tile Placement,,,,,,,
113,Seven Seas to Victory,1992.0,7.3,,2.0,2.0,120.0,120.0,12.0,2.83,Nautical;Wargame;World War II,Hex-and-Counter,,,,,,,
114,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0,6.4,,2.0,8.0,90.0,90.0,12.0,2.1,Animals;Card Game;Expansion for Base-game;Humor;Negotiation,Dice Rolling;Hand Management;Take That;Trading,Animals: Rabbits;Killer Bunnies,,,,,,
115,Madeline,1992.0,5.4,10450.0,2.0,4.0,30.0,30.0,4.0,1.0,Children's Game;Memory;Movies / TV / Radio theme;Novel-based,Memory;Point to Point Movement;Set Collection,Animals: Dogs;Characters: Madeline,,,,,,
116,Sports Franchise,1988.0,6.6,,3.0,6.0,90.0,90.0,8.0,,Sports,Roll / Spin and Move;Set Collection;Simulation;Trading,,,,,,,
117,Charlie's Angels,1977.0,3.9,,2.0,4.0,45.0,45.0,8.0,1.0,Adventure;Movies / TV / Radio theme;Spies/Secret Agents,Area Enclosure;Point to Point Movement;Roll / Spin and Move,TV Detectives;TV Series: Charlie's Angels,,,,,,
118,Cube Checkers,1997.0,5.7,10496.0,2.0,2.0,30.0,30.0,6.0,2.5,Abstract Strategy,,Checkers;Mensa Select,,,,,,
119,Sternenhimmel,1995.0,6.6,2860.0,3.0,5.0,30.0,30.0,10.0,2.09,Bluffing,Area Control / Area Influence;Auction/Bidding,,,,,,,
120,Murphy's Magic Island,1992.0,5.7,,2.0,6.0,10.0,10.0,8.0,2.0,Dice;Maze;Racing,Dice Rolling;Modular Board;Point to Point Movement;Roll / Spin and Move,,,,,,,
121,Back Off! Buzzard,1990.0,4.8,11348.0,2.0,4.0,20.0,20.0,6.0,1.0,Children's Game;Electronic,Point to Point Movement,,,,,,,
122,Voyage to the Bottom of the Sea Card Game,1965.0,6.0,,2.0,6.0,30.0,30.0,7.0,,Card Game;Movies / TV / Radio theme,Hand Management,,,,,,,
123,Dick Tracy Playing Card Game,1934.0,5.0,,2.0,4.0,30.0,30.0,,,Card Game;Comic Book / Strip,Hand Management,Characters: Dick Tracy;Comics: Chicago Tribune Syndicate,,,,,,
124,Transformers Adventure Game,1984.0,4.3,,2.0,4.0,30.0,30.0,7.0,1.75,Adventure;Children's Game,,80's Cartoons;Transformers,,,,,,
125,Arbora,1984.0,5.0,,2.0,6.0,30.0,30.0,8.0,1.0,Environmental,Tile Placement,Edition Perlhuhn series at Franckh-Kosmos;Tube Games,,,,,,
126,Stun,1986.0,4.4,12162.0,2.0,6.0,10.0,10.0,7.0,1.0,Card Game,Set Collection,,,,,,,
127,Lords Of The Middle Sea,1978.0,5.8,,2.0,4.0,180.0,180.0,12.0,2.4,Science Fiction;Wargame,Hex-and-Counter,Admin: Better Description Needed!,,,,,,
128,Ninety-Nine,1967.0,7.3,2245.0,2.0,4.0,60.0,60.0,8.0,2.09,Card Game,Betting/Wagering;Hand Management;Trick-taking,Card Games: Adding Games;Card Games: Outplay Games;Traditional Card Games,,,,,,
129,Alien,1979.0,5.5,10680.0,2.0,4.0,30.0,30.0,7.0,1.0,Movies / TV / Radio theme;Science Fiction,Roll / Spin and Move,Aliens,,,,,,
130,Plague & Pestilence,1993.0,6.1,3442.0,2.0,6.0,30.0,30.0,,1.39,Card Game;Medieval,Card Drafting;Dice Rolling;Take That,,,,,,,
131,Road Block,1987.0,8.0,,2.0,7.0,30.0,30.0,12.0,,Educational;Transportation,Roll / Spin and Move,,,,,,,
132,Power Play,1970.0,6.3,,2.0,2.0,45.0,45.0,8.0,,Abstract Strategy;Sports,Area Movement,Sports: Ice Hockey,,,,,,
133,Scooby-doo! Get That Dog,1999.0,4.8,,2.0,4.0,20.0,20.0,3.0,1.0,Children's Game;Memory;Movies / TV / Radio theme,Memory,Animals: Dogs;Cartoons: Hanna-Barbera;TV Series: Scooby-doo,,,,,,
134,Scooby-doo! Thrills and Spills,1999.0,4.0,,2.0,4.0,20.0,20.0,6.0,1.2,Action / Dexterity;Children's Game;Electronic;Movies / TV / Radio theme,,Animals: Dogs;Cartoons: Hanna-Barbera;TV Series: Scooby-doo,,,,,,
135,Auf der Flucht vor Tyrannosaurus,1993.0,5.7,,2.0,4.0,20.0,20.0,7.0,1.67,Animals;Prehistoric,Area Movement;Modular Board;Secret Unit Deployment;Simultaneous Action Selection;Variable Player Powers,Animals: Dinosaurs,,,,,,
136,À qui le tour ?,1994.0,6.4,,2.0,4.0,240.0,240.0,12.0,,Racing;Sports,Action Point Allowance System;Simulation,Sports: Bicycle / Cycling,,,,,,
137,Crosscheck,1985.0,5.0,,2.0,4.0,60.0,60.0,10.0,1.5,Trivia;Word Game,Pattern Building,,,,,,,
138,Head to Head,1972.0,5.5,,2.0,2.0,20.0,20.0,8.0,,Real-time;Word Game,,,,,,,,
139,Shadowrun Duels,2003.0,5.7,9549.0,2.0,2.0,30.0,30.0,8.0,2.3,Collectible Components;Dice;Fantasy;Fighting;Miniatures,Action Point Allowance System;Dice Rolling;Variable Player Powers,CMGs (Collectible Miniatures Games);Cyberpunk;From RPG books to board games;Shadowrun,,,,,,
140,Command Decision III,1998.0,6.9,7417.0,2.0,2.0,360.0,360.0,15.0,3.67,Miniatures;Wargame;World War II,Secret Unit Deployment;Simultaneous Action Selection,,,,,,,
141,Conquest,1974.0,6.3,3561.0,2.0,4.0,120.0,120.0,10.0,2.52,Abstract Strategy;Ancient;Wargame,Action Point Allowance System;Point to Point Movement,,,,,,,
142,Starship Troopers,1976.0,6.4,1954.0,1.0,2.0,120.0,120.0,12.0,3.08,Novel-based;Science Fiction;Wargame,Hex-and-Counter;Secret Unit Deployment,Solitaire Games;Solitaire Wargames,,,,,,
143,Command Decision II,1992.0,6.8,6389.0,2.0,2.0,360.0,360.0,12.0,4.14,Miniatures;Modern Warfare;Wargame;World War II,Secret Unit Deployment;Simultaneous Action Selection,,,,,,,
144,Battlecards: World Conflict - Pacific Theatre - Starter Set,2003.0,5.7,9431.0,2.0,8.0,60.0,60.0,10.0,1.86,Card Game;Fighting;Wargame;World War II,Campaign / Battle Card Driven;Hand Management;Secret Unit Deployment,Battlecards Series,,,,,,
145,Battlecards: World Conflict - The Russian Front - Starter Set,2003.0,5.4,10599.0,2.0,8.0,60.0,60.0,10.0,2.2,Card Game;Fighting;Wargame;World War II,Campaign / Battle Card Driven;Hand Management;Secret Unit Deployment,Battlecards Series;Country: Russia,,,,,,
146,The Amazing Spider Man Game with the Fantastic Four!,1967.0,3.8,,2.0,4.0,30.0,30.0,8.0,1.0,Comic Book / Strip,Roll / Spin and Move,Comics: Marvel Universe;Superheroes,,,,,,
147,Spider-Man,1995.0,5.0,,2.0,4.0,20.0,20.0,6.0,1.0,Action / Dexterity;Children's Game;Comic Book / Strip,Hand Management;Set Collection,Comics: Marvel Universe;Superheroes,,,,,,
148,Batman: Gotham City Mystery,2003.0,5.6,10067.0,2.0,5.0,45.0,45.0,8.0,1.0,Comic Book / Strip;Deduction,Roll / Spin and Move,Comics: DC Universe;Superheroes,,,,,,
149,Xerxes,1973.0,5.9,9291.0,2.0,2.0,30.0,30.0,10.0,1.86,Abstract Strategy;Ancient;Fighting,Secret Unit Deployment,,,,,,,
150,Age of Mythology: The Boardgame,2003.0,6.2,2080.0,2.0,4.0,180.0,180.0,10.0,2.93,Ancient;Civilization;Mythology;Video Game Theme,Campaign / Battle Card Driven;Dice Rolling;Rock-Paper-Scissors;Secret Unit Deployment;Variable Phase Order;Variable Player Powers,Country: Egypt;Country: Greece;Country: Norway,,,,,,
