id,name,year,rating,rank,num_players,gameplay_time,age,complexity_weight,category,mechanisms,type
bg2334,Fußball,,0.0,,2,45  Min,,0.00/5,Sports,Dice Rolling,Admin: Better Description Needed!;Sports: Football / Soccer
bg2335,Tacara,2000,6.3,8564,3-10,60  Min,10+,0.00/5,Racing,Point to Point Movement;Simulation,Sports: Auto Racing
bg2336,Activity,1990,6.0,4200,3-16,45  Min,12+,1.18/5,Card Game;Party Game,Acting;Dice Rolling;Line Drawing;Partnerships,Activity;Admin: Better Description Needed!
bg2337,Tortoise and the Hare Board Game,1994,6.7,,2-4,20  Min,3+,1.00/5,Animals;Children's Game,Roll / Spin and Move,Animals: Rabbits;Animals: Turtles
bg2338,1914: Opening Moves,2001,6.6,,1,30  Min,12+,1.25/5,Wargame;World War I,Hex-and-Counter;Simulation,Country: Belgium;Country: England;Country: France;Country: Germany;Country: Switzerland;Magazine: Panzerschreck
bg2339,Legacy of Glory,1990,6.0,,1-10,360  Min,,3.00/5,Miniatures;Napoleonic;Wargame,Action Point Allowance System;Simultaneous Action Selection,
bg2340,Joust,2003,5.0,,2,10  Min,6+,1.00/5,Bluffing;Card Game;Medieval;Print & Play,Hand Management;Simultaneous Action Selection,
bg2341,Collegiate Crew,1974,5.0,,2-6,60  Min,,0.00/5,Racing;Sports,Dice Rolling;Roll / Spin and Move;Variable Player Powers,
bg2342,Winter War,1972,7.1,3432,2,90  Min,12+,2.44/5,Wargame;World War II,Dice Rolling;Hex-and-Counter,Country: Finland;Magazine: Strategy & Tactics
bg2343,Andersonville,2001,5.0,,1-4,45  Min,10+,1.00/5,Abstract Strategy;American Civil War;Bluffing;Card Game;Civil War;Wargame,Hand Management,Magazine: Panzerschreck
bg2344,Torres,1999,7.2,331,2-4,60  Min,12+,2.88/5,Abstract Strategy;Medieval,Action Point Allowance System;Area Control / Area Influence;Area Enclosure;Grid Movement;Hand Management;Tile Placement,3D Games;The Mask Trilogy
bg2345,Sacrifice in the East,2001,6.0,,2,60  Min,12+,0.00/5,Wargame;World War II,Hex-and-Counter;Simulation,Magazine: Panzerschreck
bg2346,Domino Land,1995,0.0,,1-4,20  Min,5+,0.00/5,Children's Game;Puzzle,Pattern Building;Pattern Recognition,Dominoes
bg2347,The American Revolution 1775-1783,1972,6.1,7885,2,180  Min,12+,2.36/5,Age of Reason;American Revolutionary War;Wargame,Area Movement,
bg2348,Stoner Fluxx,2003,5.7,8889,2-6,15  Min,18+,1.33/5,Card Game,Hand Management;Set Collection,Fluxx
bg2349,Trivial Pursuit: All American Edition,1993,5.3,11054,2-6,60  Min,12+,2.00/5,Party Game;Trivia,Roll / Spin and Move,Country: USA;Trivial Pursuit
bg2350,Zhadu: Legend of the Sharing,2001,7.4,,2,20  Min,8+,2.00/5,Abstract Strategy,,Combinatorial
bg2351,War of Masters,1983,3.3,,2,10  Min,10+,0.00/5,Abstract Strategy;Dice,Dice Rolling,Genius;IQ Game
bg2352,Cross-City,1996,6.2,,3-6,180  Min,10+,2.25/5,Bluffing;City Building;Economic;Humor,Dice Rolling;Stock Holding,
bg2353,Der Schuh des Manitu: Das Kartenspiel,2002,3.7,,2-6,30  Min,8+,0.00/5,Bluffing;Card Game;Humor,Hand Management,
bg2354,Vegas,1973,4.5,,2-99,30  Min,8+,2.00/5,Card Game,Set Collection,Cities: Las Vegas (Nevada USA)
bg2355,No Better Place to Die,1994,7.3,3554,2,360  Min,,3.19/5,American Civil War;Wargame,Hex-and-Counter;Simulation,Civil War Brigade (CWB) Series
bg2356,Shocking Roulette,2003,5.2,11571,2-4,1  Min,14+,1.64/5,Action / Dexterity;Electronic;Humor,,Electrical Shock
bg2357,Obalistig,1997,5.5,,2-5,10  Min,,1.00/5,Action / Dexterity;Ancient;Card Game,Card Drafting,
bg2358,Leréia,,6.9,5570,2-6,60  Min,,1.50/5,Bluffing;Humor;Party Game,Paper-and-Pencil;Voting,Dictionary Games
bg2359,Frenzy,2003,5.7,8274,2,20  Min,10+,1.18/5,Card Game;Fantasy;Real-time,Variable Player Powers,
bg2360,Call of Cthulhu: Collectible Card Game,2004,6.9,1720,2,30  Min,12+,2.55/5,Card Game;Collectible Components;Horror;Novel-based,Card Drafting;Hand Management,CCGs (Collectible Card Games);Cthulhu Mythos
bg2361,Gopher It!,1999,6.0,6471,2-4,10  Min,5+,1.00/5,Animals;Card Game;Children's Game,Pattern Building;Press Your Luck;Set Collection,
bg2362,Logistics Command,1978,7.3,,2-4,120  Min,,0.00/5,Educational;Modern Warfare;Wargame,Simulation,Promotional Board Games
bg2363,Derby,2000,6.1,8782,3-5,60  Min,,1.67/5,Bluffing;Racing;Sports,Betting/Wagering,Sports: Horse Racing
bg2364,Frigates!,1991,5.7,,2,20  Min,,1.00/5,American Revolutionary War;Educational;Nautical;Wargame,Point to Point Movement;Simulation,
bg2365,Juggernaut: Great Battles of Alexander Module,1992,7.1,,2,90  Min,12+,3.50/5,Ancient;Expansion for Base-game;Wargame,Hex-and-Counter;Simulation,Country: Greece;GBOH: Great Battles of Alexander;Great Battles of History
bg2366,The Battle of Bunker Hill,1990,4.9,,2,20  Min,12+,1.50/5,Age of Reason;American Revolutionary War;Educational;Wargame,Point to Point Movement,
bg2367,Haunted Wood,1974,4.7,11918,2-4,20  Min,5+,1.22/5,Children's Game;Dice;Fantasy;Racing,Dice Rolling;Roll / Spin and Move,"Admin: Better Description Needed!;Ghosts;Ravensburger ""bring-along"" games"
bg2368,Quattro Schach,2002,5.0,,2-4,60  Min,10+,2.00/5,Abstract Strategy,Grid Movement,Chess Games
bg2369,Nobody is Perfect,1992,6.9,1987,3-10,45  Min,14+,1.68/5,Bluffing;Humor;Party Game;Trivia;Word Game,,Dictionary Games;Nobody is Perfect
bg2370,Ivanhoe,2000,6.5,1385,2-5,45  Min,10+,1.61/5,Card Game;Fighting;Medieval,Auction/Bidding;Hand Management;Set Collection,
bg2371,Nach dem Regen,1995,6.1,,2-4,30  Min,10+,2.00/5,Abstract Strategy;Fantasy,Pattern Building;Pattern Recognition,
bg2372,Triple Crown,1982,5.5,,2-4,45  Min,8+,0.00/5,Racing;Sports,Betting/Wagering;Dice Rolling;Roll / Spin and Move;Simulation,Sports: Horse Racing
bg2373,Newsmaker,1996,4.5,,2-6,10  Min,8+,2.00/5,Card Game;Economic;Industry / Manufacturing,Card Drafting,
bg2374,Firefight,1976,5.8,8990,2,90  Min,12+,2.74/5,Modern Warfare;Wargame,Hex-and-Counter,Solitaire Games;Solitaire Wargames
bg2375,Dynamo: Dunkirk 1940,1986,6.9,6704,2,360  Min,12+,2.43/5,Wargame;World War II,Hex-and-Counter,Cities: Dunkirk;Magazine: Wargamer
bg2376,Stars and Bars,1984,6.1,,2,240  Min,12+,3.50/5,American Civil War;Wargame,Hex-and-Counter,Magazine: Wargamer
bg2377,Kokko Thrill,,5.7,,2-9,20  Min,6+,2.00/5,Abstract Strategy;Animals;Print & Play,,Animals: Alligators / Crocodiles;Animals: Fishes;Animals: Octopuses
