,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
1869,74002,1317,9874,Secrets of the Deep,1991.0,Eyes Of The Jungle,1991.0
294,9478,94,5488,Touchdown A Minute Football,2003.0,Legends of Football,2003.0
1067,44346,3397,5488,Clue Jr.: The Case of the Missing Cake,2003.0,Legends of Football,2003.0
3348,158466,1941,5413,Warriors of the Green Planet,1976.0,Brandy Station - Clash of Cavalry,1976.0
777,30882,1739,1961,Quest for the DragonLords: The Crystal of Power,2003.0,Battle Cry of Freedom,2003.0
66,3110,6223,1682,Endurance: The Fitness Game,1988.0,Babble: Board Game,1988.0
3515,165242,565,3688,Ace of Aces: Powerhouse Series,1981.0,"Fall of South Vietnam, The",1981.0
4433,206012,1904,1851,Car Wars Expansion Set #1,1983.0,Borderlands Expansion Set #2,1983.0
2360,104967,1100,1789,The Great Brain Robbery,2000.0,"Great Brain Robbery, The",2000.0
5487,249602,1472,3851,Flags of the World,2008.0,Journey to the Center of the Earth,2008.0
3771,174744,6586,9010,Attack of the Plant People,1990.0,"Battle of Bunker Hill, The (1st Printing)",1990.0
1168,45499,5187,902,Legends Of Football,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
844,34367,2020,902,Age of Napoleon,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
2541,118589,1332,3279,Eagles of the Empire: Friedland,1995.0,Eagles of the Empire: Friedland,1995.0
318,10999,218,902,The Settlers of Zarahemla,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
2076,82223,5622,4811,International Soccer The Game,1992.0,Distant Seas - The Merchant Marine Game,1992.0
4547,208699,6603,1344,Star Trek II: The Wrath of Khan,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
4831,220654,1553,3005,Eagles of the Empire: Napoleon in the Desert,2002.0,Lord of the Rings: The Duel,2002.0
4388,203241,4059,6208,Air Strike,1987.0,Air Superiority,1987.0
2890,132782,3931,5824,Harry Potter Trading Card Game,2001.0,"Warhammer 40,000 Collectible Card Game",2001.0
635,25748,1557,3373,Monopoly: The Lord of the Rings Trilogy Edition,2003.0,Asteroid (2nd Edition),2003.0
273,8938,61,6505,Den of Thieves,2003.0,The Fall of France,2003.0
1673,66341,5770,1675,Star Trek: The Next Generation Game of the Galaxies,1993.0,"Campaigns of Frederick the Great, The",1993.0
4216,193197,5638,5646,Crime Solvers: First Edition - Cases 1 thru 10,1986.0,Command Decision (1st Edition),1986.0
142,5830,4914,2690,The Road To Vicksburg: The Battle of Champion Hill,1985.0,Battle of the Bulge (1st Printing),1985.0
1600,63059,497,9916,Clash of Eagles,1993.0,Army of Darkness,1993.0
683,27312,1626,3373,Risk: The Lord of the Rings Trilogy Edition,2003.0,Asteroid (2nd Edition),2003.0
2837,128613,2078,467,More Battle for China,2001.0,Star Fleet Battle Force,2001.0
3067,145025,5241,1718,Electronic Talking Battleship,1989.0,Electronic Talking Battleship,1989.0
3046,143333,2575,8198,Auto Repair: A Game of Expenses,1989.0,"Guns of Cedar Creek, The",1989.0
1947,75836,5717,8814,The Great Battles of Alexander,1991.0,Bastogne - Crossroads of Death,1991.0
3375,158963,3096,9434,William the Conqueror: 1066,1976.0,William the Conqueror - 1066,1976.0
4476,207271,4710,1344,City States of Arklyrell,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
5161,237398,4857,1542,The Settlers of the Stone Age,2002.0,Settlers of Canaan,2002.0
5211,240534,5071,3005,Lord of the Rings: The Duel,2002.0,Lord of the Rings: The Duel,2002.0
1434,54993,6928,2197,Go Bark Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
2907,134742,4296,5824,RIFTS Collectible Card Game,2001.0,"Warhammer 40,000 Collectible Card Game",2001.0
3643,169490,277,72,The Siege of Minas Tirith,1975.0,Royal Armies of the Hyborean Age,1975.0
4908,225209,3387,4642,Barbarossa 1941,2002.0,World War II: Barbarossa to Berlin,2002.0
1355,52077,6711,6071,Labyrinth of Minotaur,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
300,10009,145,2544,Battlecards: World Conflict - The Russian Front - Starter Set,2003.0,Eastern Front,2003.0
5231,241370,5150,798,Friends Trivia Game,2002.0,The Scrambled States of America Game,2002.0
1348,52035,6711,1426,Labyrinth of Minotaur,2003.0,Dungeoneer: Vault of the Fiends,2003.0
626,25685,1554,6652,Trivial Pursuit: DVD Pop Culture Game,2003.0,Trivial Pursuit DVD - Pop Culture,2003.0
3242,153714,4291,4546,Legend of the Burning Sands,1998.0,Joan of Arc,1998.0
3852,177370,2360,8212,Call of Cthulhu: Collectible Card Game,2004.0,Struggle of Empires,2004.0
1286,51299,6669,1426,Duel of Ages Set 6: Field of Honor,2003.0,Dungeoneer: Vault of the Fiends,2003.0
771,30825,1727,6071,Dungeoneer: Vault of the Fiends,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
718,28336,1656,4933,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003.0,Ark Of The Covenant,2003.0
5124,235303,4656,6779,Mesopotamia:  Birth of Civilisation,2002.0,Age of Steam,2002.0
3985,183610,3162,10169,Struggle of Empires,2004.0,Maharaja: The Game of Palace Building in India,2004.0
1249,50580,6573,2532,Duel of Ages Set 1: Worldspanner,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
803,31558,1757,5488,Lilo & Stitch's Island of Adventures,2003.0,Legends of Football,2003.0
4529,208532,6547,1851,Epoch Wargame Electronics #2: Battle of the Bulge,1983.0,Borderlands Expansion Set #2,1983.0
481,18002,810,1961,Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition,2003.0,Battle Cry of Freedom,2003.0
2145,86755,4011,3306,Chicken Cha Cha Cha,1997.0,Chicken Cha Cha Cha,1997.0
1943,75808,5714,4341,Dino Wars,1991.0,Car Wars: The Card Game,1991.0
4810,219829,1002,7795,The Lord of the Rings: The Fellowship of the Ring Board Game,2002.0,The Fall of Castle Bondi,2002.0
3532,166247,2242,2737,Battle of Vittoria,1981.0,Ace of Aces - Powerhouse Series,1981.0
147,5945,5094,9313,1 on 1 Adventure Gamebooks: Castle Arcania,1985.0,Star Trek - The Adventure Game,1985.0
3457,162227,3272,5292,Rubik's Game,1982.0,The Farming Game,1982.0
1894,74428,2407,423,Honour Alone: Hong Kong 1941,1991.0,"Stand & Die - The Battle of Borodino, 1941",1991.0
4660,214314,5161,3628,The Game of Real Estate,1979.0,Napoleon's Art of War - Eylau & Dresden,1979.0
307,10192,150,2532,Age of Mythology: The Boardgame,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
1646,65159,3790,9916,Tide of Fortune,1993.0,Army of Darkness,1993.0
30,1018,2295,2114,Grand Army of the Republic,1988.0,Ace of Aces - Wingleader,1988.0
4431,205997,1903,6621,Car Wars Expansion Set #4 Armadillo Autoduel Arena,1983.0,Dodge City Expansion (2nd Edition),1983.0
1613,63947,1804,4151,Blood & Thunder,1993.0,Blood & Thunder,1993.0
4866,223623,2566,1505,Disciples II: Blades of War,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
694,28115,1652,1426,History of War,2003.0,Dungeoneer: Vault of the Fiends,2003.0
2705,122950,5273,4652,Rules of the Game,1995.0,The Great Battles of Alexander: Deluxe Edition,1995.0
4106,187785,2871,49,Battle of Two Empires,1978.0,"Battle of Guilford Courthouse, The",1978.0
2700,122789,5056,8743,Blood Wars,1995.0,Star Wars - Death Star Assault Game,1995.0
4291,198525,2636,1086,Empires of the Middle Ages,1980.0,Arena of Death,1980.0
2054,80032,3374,6826,Pick-A-Winner Card Game,1992.0,Batman Returns - 3-D Board Game,1992.0
3673,170924,3053,996,Wide World of Sports Golf Game,1975.0,"Siege of Port Arthur, The",1975.0
916,36695,2135,3312,Tobruk Expansion Pack 4: Blunted Sword,2003.0,Pack of Flies,2003.0
447,15296,622,7119,UNO: Hello Kitty,2003.0,Feed the Kitty,2003.0
357,11776,288,4933,Battles of the Ancient World: Marathon and Granicus,2003.0,Ark Of The Covenant,2003.0
3284,155967,5653,106,War Without Mercy,1998.0,"Great War at Sea #2 - The North & Baltic Seas (1st Printing, Thin Box)",1998.0
4194,192272,4668,8039,1830: Railways & Robber Barons,1986.0,1830: Railways & Robber Barons,1986.0
2877,131799,3539,5633,Starship War P.I.G.s,2001.0,Reds! The Russian Civil War 1918-1921 (2nd edition),2001.0
431,13870,506,2363,Big Top,2003.0,Chief Hermans Next Big Thing,2003.0
5539,250710,3461,857,Wings of War: Watch Your Back!,2005.0,Barbary Coast War (2nd Edition),2005.0
1780,71193,4187,9608,Talisman (third edition): Dungeon of Doom,1994.0,Thunderbirds: The Game of International Rescue,1994.0
1853,73759,876,8098,Rio Grande:  The Battle of Valverde,1991.0,Castle of Magic,1991.0
3763,174531,6508,1186,Lion of Ethiopia,1990.0,Ace of Aces - Jet Eagles,1990.0
5359,246482,6357,798,The Wonderful World of Music Game,2002.0,The Scrambled States of America Game,2002.0
613,25392,1504,4933,Battle Cry of Freedom,2003.0,Ark Of The Covenant,2003.0
324,11040,218,4933,The Settlers of Zarahemla,2003.0,Ark Of The Covenant,2003.0
2719,123612,6295,7099,Bombs Away,1995.0,Sugar Frosted Breakfast Bombs,1995.0
4315,199235,4321,6453,The Hammer of Thor: The Game of Norse Mythology,1980.0,Valley of the Four Winds,1980.0
3901,180492,2887,9112,Duel of Ages: Masters Addendum,2004.0,Age of Gods,2004.0
2125,84990,2146,4332,Pegasus Bridge: ASL Historical Module 4,1997.0,Aussie ASL '97 Pack,1997.0
405,13310,433,1961,Match of the Penguins,2003.0,Battle Cry of Freedom,2003.0
980,38470,2385,6505,Age of Steam Expansion #2: Western US and Germany,2003.0,The Fall of France,2003.0
5391,247748,6744,9450,Mag·Blast (Second Edition),2002.0,Rome's Greatest Foe - The 2nd Punic War (1st Edition),2002.0
2790,127455,1702,5297,Fence & Fenceability,2001.0,Fence & Fenceability,2001.0
892,35124,2048,2532,Master and Commander: The Far Side of the World,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
3807,175981,960,3326,Sword of Rome,2004.0,Heroscape Master Set: Rise of the Valkyrie,2004.0
4789,219502,894,798,Battle of the Bands: Backstage Pass,2002.0,The Scrambled States of America Game,2002.0
93,4221,1385,8236,Tales of the Arabian Nights,1985.0,Ace of Aces - Balloon Buster,1985.0
3010,140616,6309,5328,Apples to Apples: Expansion Set #3,2001.0,Leibstandarte Pack #3 - Clash at Kharkov!,2001.0
4804,219789,1002,1505,The Lord of the Rings: The Fellowship of the Ring Board Game,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
158,6053,5209,3647,Life of the Party: Where There's a Will There's a Murder,1985.0,World War II - European Theater of Operations,1985.0
1781,71194,4187,9764,Talisman (third edition): Dungeon of Doom,1994.0,MindTrap - Audio Mystery Edition,1994.0
984,38755,2392,6948,Gem Quest,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0
2804,127672,1734,5824,The Breyer Game of Horse Sense,2001.0,"Warhammer 40,000 Collectible Card Game",2001.0
473,17143,742,8262,Tobruk Expansion Pack 2: Benghazi Handicap,2003.0,Friendly Fire Pack #1,2003.0
617,25406,1504,6505,Battle Cry of Freedom,2003.0,The Fall of France,2003.0
4906,224818,3116,9742,Route 66: The Great American Road Trip Game,2002.0,"G.I. Joe - Mission, Cobra H.Q. Game",2002.0
2299,101042,5829,5660,N.Y. Chase,1999.0,NY Chase,1999.0
2348,103974,543,749,Battles of the Ancient World Volume III,2000.0,Merchants of Amsterdam,2000.0
3409,159867,5529,4657,The Great War 1914-1918,1976.0,Boer War,1976.0
86,3981,821,8236,Dr. Ruth's Game of Good Sex,1985.0,Ace of Aces - Balloon Buster,1985.0
2042,79598,3176,6826,Aladdin: Sounds of Fun Electronic Talking Board Game,1992.0,Batman Returns - 3-D Board Game,1992.0
1640,64927,3594,5973,Doom of the Eldar,1993.0,Doom of the Eldar,1993.0
1353,52072,6711,4933,Labyrinth of Minotaur,2003.0,Ark Of The Covenant,2003.0
1542,60778,5163,7987,An Evening of Murder: Terminal Espionage,1996.0,Dicemaster: Wilds of Doom,1996.0
5295,242817,5434,4642,Rome at War II: Fading Legions,2002.0,World War II: Barbarossa to Berlin,2002.0
4997,229719,3872,9993,Golden Deuce,2002.0,Golden Deuce,2002.0
5121,235276,4656,2524,Mesopotamia:  Birth of Civilisation,2002.0,Clash of the Gladiators,2002.0
4313,199224,4289,10242,Takeover: The Stock Market Game,1980.0,Dungeons & Dragons Computer Labyrinth Game,1980.0
1244,50353,6456,7924,Mystery Rummy: Al Capone and the Chicago Underworld,2003.0,Mystery Rummy: Al Capone and the Chicago Underworld,2003.0
2404,108929,2630,4182,The Three Days of Gettysburg (second edition),2000.0,Monopoly - The .com Edition,2000.0
4534,208556,6548,4451,Epoch Wargame Electronics #3: The Battle of Sekigahara,1983.0,"Fellowship of the Ring Board Game, The",1983.0
5151,236195,4788,2127,Virus & Co,2002.0,Pizarro & Co.,2002.0
