,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
4373,202223,1930,3988,Travel Buff,1987.0,Travel Buff,1987.0
3529,166230,2238,6312,Empire (third edition),1981.0,Harpoon (1990-1991 Edition w/Data Annex),1981.0
2375,106717,1748,9354,Lord of the Rings,2000.0,Empires of the Ancient World,2000.0
1658,65511,4278,113,Heroes of Asfar,1993.0,Lords of Creation,1993.0
2181,90080,411,1973,Monopoly: Justice League of America,1999.0,King of the Elves,1999.0
4249,196014,3646,5863,The Arab-Israeli Wars,1977.0,Star Wars - Escape From Death Star,1977.0
611,25372,1504,2532,Battle Cry of Freedom,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
4517,208363,6423,1344,Star Wars: Return of the Jedi - The Play-for-Power Card Games,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
2957,137622,5233,6789,Breaking into Valhalla,2001.0,Breaking into Valhalla,2001.0
5111,234566,4552,2524,Age of Steam,2002.0,Clash of the Gladiators,2002.0
5459,249253,1058,2348,Winds Of Plunder,2007.0,Conquest of Paradise,2007.0
1515,60115,4535,2984,Nick at Nite Classic TV Trivia Game,1996.0,Champion Hill Board Game,1996.0
3786,175297,6844,4823,Wizardry Card Game Wiz Ball,1990.0,Dirty Minds - The Game of Naughty Clues,1990.0
444,14729,542,6235,Portable Adventures: Lair of the Rat-King,2003.0,America Triumphant - Battle of the Bulge,2003.0
2556,118980,1679,799,2038: Tycoons of the Asteroid Belt,1995.0,Blazing Aces! A Fistful of Family Card Games,1995.0
4787,219496,849,10123,The Chick Game,2002.0,Clue Card Game,2002.0
3719,172353,1141,2062,Battlefield: Europe,1990.0,Battlefield - Europe,1990.0
2474,114211,5409,1530,Formula Dé Circuits 31 & 32: Zhuhai & Sepang,2000.0,Formula Dé Circuits 31 & 32: Zhuhai & Sepang,2000.0
2192,91266,1184,10181,MTV: The Game,1999.0,Lost Cities: The Card Game,1999.0
184,6613,6116,3647,Pacific War,1985.0,World War II - European Theater of Operations,1985.0
5545,250744,3461,2786,Wings of War: Watch Your Back!,2005.0,Wings of War: Watch Your Back!,2005.0
3410,159891,5568,3626,Jack and the Beanstalk Memory Game,1976.0,Burma Board Game,1976.0
28,955,2137,3685,West of Alamein: ASL Module 5,1988.0,Grand Army of the Republic,1988.0
1579,62070,6084,7987,Clue Jr.: The Case of the Hidden Toys,1996.0,Dicemaster: Wilds of Doom,1996.0
3578,167381,4722,7509,Battle of the Bulge,1981.0,"Fistful of Turkeys, A",1981.0
33,1041,2312,2114,The Rise and Fall of the Galactic Empire,1988.0,Ace of Aces - Wingleader,1988.0
1577,62058,6084,4354,Clue Jr.: The Case of the Hidden Toys,1996.0,Towers of Bel,1996.0
374,12153,406,6235,Lara Croft: Tomb Raider - The Angel of Darkness,2003.0,America Triumphant - Battle of the Bulge,2003.0
1880,74154,1623,9279,Monopoly: European Edition,1991.0,Monopoly - European Edition,1991.0
979,38465,2385,6235,Age of Steam Expansion #2: Western US and Germany,2003.0,America Triumphant - Battle of the Bulge,2003.0
1256,50630,6573,8067,Duel of Ages Set 1: Worldspanner,2003.0,The Bridges of Shangri-La,2003.0
3391,159539,4652,2684,War of the Ring: The Game of Middle Earth,1976.0,Bay of Pigs,1976.0
3387,159337,4111,7364,Outreach: The Conquest of the Galaxy 3000AD,1976.0,UFO - Game of Close Encounters,1976.0
4084,187102,127,6631,Lords Of The Middle Sea,1978.0,"Hobbit Game, The - The Adventures of Bilbo in Middle-Earth from ""The Lord of the Rings""",1978.0
376,12162,406,6665,Lara Croft: Tomb Raider - The Angel of Darkness,2003.0,When Darkness Comes: Darkness Before the Dawn,2003.0
436,14683,542,1426,Portable Adventures: Lair of the Rat-King,2003.0,Dungeoneer: Vault of the Fiends,2003.0
5333,245421,6100,1542,Zeppelin Battles of the Great War,2002.0,Settlers of Canaan,2002.0
2090,82876,6505,5426,Wings Over France,1992.0,Wings Over France,1992.0
1046,43695,3336,4121,VEX Flag Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
2940,136373,4801,9185,Twilight Imperium: Hope's End,2001.0,"Rome: Imperium, Circus Maximus, Hannibal vs Rome",2001.0
2408,108953,2630,9354,The Three Days of Gettysburg (second edition),2000.0,Empires of the Ancient World,2000.0
251,8809,57,2197,MINDFIELD The Game of US Military Trivia,2003.0,"Suicide Bomber Card Game, The",2003.0
39,1692,3226,4064,The Gumby Game,1988.0,Antiques Roadshow - The Game,1988.0
3631,168679,6441,1883,Harpoon (1st & 3rd edition),1981.0,Battlewagon (2nd Edition),1981.0
5379,246760,6382,10123,ScandalMonger Trivia Game,2002.0,Clue Card Game,2002.0
3879,178821,2731,8767,Wings of War: Famous Aces,2004.0,The Downfall of Pompeii,2004.0
3808,175982,960,3337,Sword of Rome,2004.0,Heart of Africa,2004.0
4128,188743,6257,7690,P.E.G.S. (The Parker Electronic Game System),1978.0,"Blood Flow Game, The",1978.0
592,23179,1364,4121,Dragon Ball Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
829,34033,1988,3779,Paintcheck: The Paintball Game,2003.0,Mission Command - Sea Game,2003.0
4664,214439,5396,1104,Bruce Jenner Decathlon Game,1979.0,San Francisco - The Tour Game,1979.0
3323,157431,6936,8466,Joan of Arc,1998.0,"Last Days of the Grande Armee, The",1998.0
4725,216803,4510,7453,1776: The Birth Of A Nation,1974.0,"Battle of Helm's Deep, The (1st Printing)",1974.0
4995,229430,3845,9450,This Accursed Civil War,2002.0,Rome's Greatest Foe - The 2nd Punic War (1st Edition),2002.0
4260,196705,5173,3372,Cosmic Encounter: Expansion Set #2,1977.0,Chess Set,1977.0
1725,69165,2001,3300,Malta Clash of Eagles Expansion,1994.0,Fields of Honor,1994.0
2398,108498,2380,2750,Way Out West,2000.0,Fall of the West,2000.0
5063,233406,4424,9450,Catan: Portable Edition,2002.0,Rome's Greatest Foe - The 2nd Punic War (1st Edition),2002.0
2642,121433,4043,3279,Quests of the Round Table,1995.0,Eagles of the Empire: Friedland,1995.0
4101,187642,1628,49,The Battle of Lobositz,1978.0,"Battle of Guilford Courthouse, The",1978.0
5451,249194,6109,3179,James Bond Secret Agent 007 Game,1964.0,James Bond Secret Agent 007 Game,1964.0
5302,243145,5525,798,The Worst-Case Scenario Survival Game,2002.0,The Scrambled States of America Game,2002.0
4632,213314,3255,10151,The Black Hole: Voyage of Fear Game,1979.0,War of the Sky Cities,1979.0
5366,246521,6357,6779,The Wonderful World of Music Game,2002.0,Age of Steam,2002.0
4190,192234,4642,5027,B.S.: The Game of Being Sneaky,1986.0,"Honeymooners Game, The",1986.0
2711,123017,5508,3279,Empire of the Rising Sun,1995.0,Eagles of the Empire: Friedland,1995.0
859,34658,2028,2080,Lord of the Rings: Battle of Destiny,2003.0,Granada - The Fall of Moslem Spain,2003.0
3384,159321,4111,1603,Outreach: The Conquest of the Galaxy 3000AD,1976.0,Wellington's Victory - The Battle of Waterloo,1976.0
4763,218369,693,1505,Battle Grid,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
4939,226886,3700,798,Clue: The Card Game,2002.0,The Scrambled States of America Game,2002.0
437,14690,542,1961,Portable Adventures: Lair of the Rat-King,2003.0,Battle Cry of Freedom,2003.0
136,5773,4799,3647,Cromwell's Victory: The Battle of Marston Moor,1985.0,World War II - European Theater of Operations,1985.0
4639,213497,3803,2435,John Carter: Warlord of Mars,1979.0,John Carter - Warlord of Mars,1979.0
2602,120358,3348,4652,The Hunchback of Notre Dame: Town Square Game,1995.0,The Great Battles of Alexander: Deluxe Edition,1995.0
3012,140663,6312,1960,Marvel Trivia Game,2001.0,eBay Electronic Talking Auction Game,2001.0
1089,44625,3401,6071,Hubbub: The Game of Sound Mind &  Body,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
2440,112927,4633,2750,Diskwars: Legend of the Five Rings,2000.0,Fall of the West,2000.0
3689,171428,5082,475,The Fast Carriers,1975.0,"Fast Carriers, The",1975.0
3725,172745,2144,9291,Red Barricades: ASL Historical Module 1,1990.0,ASL Annual '90,1990.0
1145,45358,4882,5488,Worlds of Heroes & Tyrants: Hell Card Expansion #2 - Anger Management,2003.0,Legends of Football,2003.0
711,28306,1656,1961,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003.0,Battle Cry of Freedom,2003.0
1944,75822,5717,423,The Great Battles of Alexander,1991.0,"Stand & Die - The Battle of Borodino, 1941",1991.0
3482,163539,5377,5292,G.I. Joe Adventure Board Game,1982.0,The Farming Game,1982.0
5473,249540,6413,8938,Mille Bornes,1954.0,Mille Bornes,1954.0
2749,124992,308,3319,Red Badge of Courage,2001.0,War! Age of Imperialism,2001.0
2167,88957,6496,6022,DiGiCharat's Game of Life,1997.0,Sold! - The Antique Dealer Game (2nd Edition),1997.0
3439,161352,1928,1692,Rommel in the Desert,1982.0,Western Desert,1982.0
2872,130994,2983,548,UNO: New York City,2001.0,Entdecker: Exploring New Horizons,2001.0
1652,65346,4081,4137,Trivial Pursuit: Country Music,1993.0,Trivial Pursuit - All American,1993.0
2565,119381,2002,3279,Sturmovik Clash of Eagles Expansion,1995.0,Eagles of the Empire: Friedland,1995.0
728,29414,1690,2080,Return of the Heroes,2003.0,Granada - The Fall of Moslem Spain,2003.0
1410,54335,6891,1426,Age of Steam Expansion #1: England & Ireland,2003.0,Dungeoneer: Vault of the Fiends,2003.0
4013,184722,3321,10256,Battle of the Bands: Encore Edition,2004.0,A Game of Thrones: A Clash of Kings Expansion,2004.0
1460,56300,1075,10298,Principles of War: Napoleonics,1996.0,Battles from the Age of Reason #2 - Zorndorf - Frederick vs. the Warriors of Holy Russia,1996.0
4318,199305,4554,4947,Can't Stop,1980.0,Can't Stop,1980.0
1724,69162,2001,2028,Malta Clash of Eagles Expansion,1994.0,Avalanche - The Invasion of Italy,1994.0
2441,112944,4633,7872,Diskwars: Legend of the Five Rings,2000.0,The Princes of Florence,2000.0
3442,161439,1991,9383,Battle Damage: Code Red,1982.0,Battle for the Factories,1982.0
4584,210523,4159,7096,Nuke: The Last Game on Earth,1984.0,Entertainment Tonight - The Trivia Game,1984.0
1246,50563,6573,1426,Duel of Ages Set 1: Worldspanner,2003.0,Dungeoneer: Vault of the Fiends,2003.0
1022,40424,2568,9120,Stalingrad: Pivot on the Volga,2003.0,Battlelines: The Stalingrad Campaign,2003.0
3767,174578,6542,5141,Borodino: Doomed Victory,1990.0,Air Bridge to Victory,1990.0
4224,193634,6307,7543,Kings & Things,1986.0,Kings & Things,1986.0
