_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
11779,288,5515,Battles of the Ancient World: Marathon and Granicus,2003.0,Brick Battles,2003.0
12084,383,8626,Sweden Fights On,2003.0,Sweden Fights On,2003.0
12162,406,6665,Lara Croft: Tomb Raider - The Angel of Darkness,2003.0,When Darkness Comes: Darkness Before the Dawn,2003.0
13059,425,4121,The Lewis & Clark Adventure Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
13214,431,1690,Mission Command Land,2003.0,Mission Command - Air Game,2003.0
13241,431,3779,Mission Command Land,2003.0,Mission Command - Sea Game,2003.0
13398,435,1690,Mission Command Sea,2003.0,Mission Command - Air Game,2003.0
13425,435,3779,Mission Command Sea,2003.0,Mission Command - Sea Game,2003.0
13490,437,1690,Mission Command Air,2003.0,Mission Command - Air Game,2003.0
13517,437,3779,Mission Command Air,2003.0,Mission Command - Sea Game,2003.0
13870,506,2363,Big Top,2003.0,Chief Hermans Next Big Thing,2003.0
13898,506,6139,Big Top,2003.0,Big Top,2003.0
14220,528,1070,Summer Camp,2003.0,Summer Camp,2003.0
14265,528,6071,Summer Camp,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
15296,622,7119,UNO: Hello Kitty,2003.0,Feed the Kitty,2003.0
15316,631,270,Final Days: Miniatures Battle Game,2003.0,10 Days in the USA,2003.0
15334,631,1961,Final Days: Miniatures Battle Game,2003.0,Battle Cry of Freedom,2003.0
15373,631,6235,Final Days: Miniatures Battle Game,2003.0,America Triumphant - Battle of the Bulge,2003.0
15383,631,6695,Final Days: Miniatures Battle Game,2003.0,Transformers Armada - Battle for Cybertron,2003.0
15385,631,6771,Final Days: Miniatures Battle Game,2003.0,10 Days in Africa,2003.0
15452,632,4128,Panzer Grenadier: Edelweiss,2003.0,Panzer Grenadier: Edelweiss,2003.0
15544,638,4128,Panzer Grenadier: Semper Fi! Guadalcanal,2003.0,Panzer Grenadier: Edelweiss,2003.0
15642,643,5488,Myths and Legends,2003.0,Legends of Football,2003.0
17000,741,2532,Tobruk Expansion Pack 1: Wavell's 30000,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
17007,741,3312,Tobruk Expansion Pack 1: Wavell's 30000,2003.0,Pack of Flies,2003.0
