_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
3341,6733,2114,Curse of the Mummy's Tomb,1988.0,Ace of Aces - Wingleader,1988.0
3347,6733,3685,Curse of the Mummy's Tomb,1988.0,Grand Army of the Republic,1988.0
3353,6733,8070,Curse of the Mummy's Tomb,1988.0,Profits of the Airwaves,1988.0
3625,241,9313,The Yuppie Game,1985.0,Star Trek - The Adventure Game,1985.0
3795,481,3813,West Front,1985.0,Arctic Front (1st Printing),1985.0
3845,521,9313,Mobile Suit Z Gundam game: Take off MkII,1985.0,Star Trek - The Adventure Game,1985.0
3868,611,1917,Legal Decision,1985.0,Legal Decision,1985.0
3930,756,2690,Treasure of the Lost Temple,1985.0,Battle of the Bulge (1st Printing),1985.0
3932,756,3027,Treasure of the Lost Temple,1985.0,"Eye of the Idol, The",1985.0
3933,756,3647,Treasure of the Lost Temple,1985.0,World War II - European Theater of Operations,1985.0
3941,756,8236,Treasure of the Lost Temple,1985.0,Ace of Aces - Balloon Buster,1985.0
3970,821,2690,Dr. Ruth's Game of Good Sex,1985.0,Battle of the Bulge (1st Printing),1985.0
3972,821,3027,Dr. Ruth's Game of Good Sex,1985.0,"Eye of the Idol, The",1985.0
3973,821,3647,Dr. Ruth's Game of Good Sex,1985.0,World War II - European Theater of Operations,1985.0
3981,821,8236,Dr. Ruth's Game of Good Sex,1985.0,Ace of Aces - Balloon Buster,1985.0
3985,821,9313,Dr. Ruth's Game of Good Sex,1985.0,Star Trek - The Adventure Game,1985.0
4085,1080,9313,Touchdown: The American Football Game,1985.0,Star Trek - The Adventure Game,1985.0
4185,1350,9313,Alan Jones Formula 1 Grand Prix Racing Game,1985.0,Star Trek - The Adventure Game,1985.0
4210,1385,2690,Tales of the Arabian Nights,1985.0,Battle of the Bulge (1st Printing),1985.0
4212,1385,3027,Tales of the Arabian Nights,1985.0,"Eye of the Idol, The",1985.0
4213,1385,3647,Tales of the Arabian Nights,1985.0,World War II - European Theater of Operations,1985.0
4221,1385,8236,Tales of the Arabian Nights,1985.0,Ace of Aces - Balloon Buster,1985.0
